 >TARCYL  cylindrical target: Length=  1.0000 Diameter= 64.4900
      3260 = NAT
  0.000000  1.000000  0.000000 = A_1 vector
  0.000000  0.000000  1.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000   0.00000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    764 -23   0 -13 1 1 1
    765 -22   0 -13 1 1 1
    766 -21   0 -13 1 1 1
    767 -20   0 -13 1 1 1
    768 -19   0 -13 1 1 1
    769 -18   0 -13 1 1 1
    770 -17   0 -13 1 1 1
    771 -16   0 -13 1 1 1
    772 -15   0 -13 1 1 1
    773 -14   0 -13 1 1 1
    774 -13   0 -13 1 1 1
    775 -12   0 -13 1 1 1
    776 -11   0 -13 1 1 1
    777 -10   0 -13 1 1 1
    778  -9   0 -13 1 1 1
    779  -8   0 -13 1 1 1
    780  -7   0 -13 1 1 1
    781  -6   0 -13 1 1 1
    782  -5   0 -13 1 1 1
